precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
854.05;0;901.55;619080;;0;18/02/2016
719.1;0;899;619080;;0;19/02/2016
719.1;0;899;619080;;0;20/02/2016
719.1;0;899;619080;;0;21/02/2016
764.1;0;879;619080;;0;22/02/2016
746.1;0;1098.97;619080;;0;23/02/2016
844.55;0;1098.97;619080;;0;24/02/2016
844.55;0;1176.31;619080;;0;25/02/2016
854.1;0;1098.97;619080;;0;26/02/2016
854.1;0;1098.97;619080;;0;27/02/2016
764.91;0;1098.97;619080;;0;28/02/2016
854.1;0;1098.97;619080;;0;29/02/2016
809.1;0;1098.97;619080;;0;01/03/2016
764.99;0;1098.97;619080;;0;02/03/2016
809.1;0;1098.97;619080;;0;03/03/2016
809.1;0;899;619080;;0;04/03/2016
794.29;0;899;619080;;0;05/03/2016
794.29;0;899;619080;;0;06/03/2016
794.29;0;899;619080;;0;07/03/2016
809.1;0;899;619080;;0;08/03/2016
768.65;0;899;619080;;0;09/03/2016
768.65;0;1098.97;619080;;0;10/03/2016
768.65;0;1098.97;619080;;0;11/03/2016
768.65;0;901.55;619080;;0;12/03/2016
768.65;0;901.55;619080;;0;13/03/2016
809.1;0;901.55;619080;;0;14/03/2016
791.12;0;901.55;619080;;0;15/03/2016
751.56;0;999.9;619080;;0;16/03/2016
751.56;0;999.9;619080;;0;17/03/2016
751.56;0;999.9;619080;;0;18/03/2016
751.56;0;999.9;619080;;0;19/03/2016
751.56;0;999.9;619080;;0;20/03/2016
791.12;0;999.9;619080;;0;21/03/2016
791.12;0;999.9;619080;;0;22/03/2016
791.12;0;999.9;619080;;0;23/03/2016
791.12;0;1263.75;619080;;0;24/03/2016
791.12;0;1263.75;619080;;0;25/03/2016
791.12;0;1263.75;619080;;0;26/03/2016
791.12;0;1263.75;619080;;0;27/03/2016
999.9;0;1263.75;619080;;0;28/03/2016
712.01;0;1263.75;619080;;0;29/03/2016
712.01;0;1263.75;619080;;0;30/03/2016
879.9;0;1263.75;619080;;0;31/03/2016
854.05;0;1263.75;619080;;0;01/04/2016
899;0;1263.75;619080;;0;02/04/2016
899;0;1263.75;619080;;0;03/04/2016
899;0;1263.75;619080;;0;04/04/2016
728.19;0;1263.75;619080;;0;05/04/2016
728.19;0;1263.75;619080;;0;06/04/2016
728.19;0;1263.75;619080;;0;07/04/2016
728.19;0;1199;619080;;0;08/04/2016
728.19;0;1199;619080;;0;09/04/2016
728.19;0;1199;619080;;0;10/04/2016
728.19;0;1199;619080;;0;11/04/2016
899;0;1199;619080;;0;12/04/2016
799;0;1199;619080;;0;13/04/2016
899;0;1199;619080;;0;14/04/2016
768.65;0;1199;619080;;0;15/04/2016
768.65;0;1199;619080;;0;16/04/2016
768.65;0;1199;619080;;0;17/04/2016
768.65;0;1199;619080;;0;18/04/2016
899;0;1199;619080;;0;19/04/2016
899;0;1299;619080;;0;20/04/2016
899;0;1299;619080;;0;21/04/2016
899;0;1299;619080;;0;22/04/2016
899;0;1299;619080;;0;23/04/2016
899;0;1299;619080;;0;24/04/2016
899;0;1299;619080;;0;25/04/2016
899;0;1299;619080;;0;26/04/2016
854.01;0;1299;619080;;0;27/04/2016
728.19;0;1299;619080;;0;28/04/2016
728.19;0;1299;619080;;0;29/04/2016
728.19;0;1299;619080;;0;30/04/2016
728.19;0;1299;619080;;0;01/05/2016
768.69;0;1299;619080;;0;02/05/2016
768.69;0;1299;619080;;0;03/05/2016
768.69;0;1299;619080;;0;04/05/2016
768.69;0;1299;619080;;0;05/05/2016
768.69;0;1299;619080;;0;06/05/2016
768.69;0;1299;619080;;0;07/05/2016
768.69;0;1299;619080;;0;08/05/2016
811.4;0;1299;619080;;0;09/05/2016
811.4;0;1299;619080;;0;10/05/2016
811.4;0;1299;619080;;0;11/05/2016
811.4;0;1299;619080;;0;12/05/2016
811.4;0;1299;619080;;0;13/05/2016
811.4;0;1299;619080;;0;14/05/2016
811.4;0;1299;619080;;0;15/05/2016
811.4;0;1299;619080;;0;16/05/2016
811.4;0;1299;619080;;0;17/05/2016
811.4;0;1299;619080;;0;18/05/2016
811.4;0;1299;619080;;0;19/05/2016
811.4;0;1299;619080;;0;20/05/2016
811.4;0;1299;619080;;0;21/05/2016
811.4;0;1299;619080;;0;22/05/2016
811.4;0;1299;619080;;0;23/05/2016
811.4;0;1299;619080;;0;24/05/2016
811.4;0;1299;619080;;0;25/05/2016
811.4;0;1299;619080;;0;26/05/2016
811.4;0;1299;619080;;0;27/05/2016
811.4;0;1299;619080;;0;28/05/2016
811.4;0;1299;619080;;0;29/05/2016
868.96;0;1299;619080;;0;30/05/2016
881.9;0;1299;619080;;0;31/05/2016
868.96;0;1299;619080;;0;01/06/2016
856.47;0;1299;619080;;0;02/06/2016
856.47;0;1299;619080;;0;03/06/2016
856.47;0;1299;619080;;0;04/06/2016
856.47;0;1299;619080;;0;05/06/2016
854.1;0;1099;619080;;0;06/06/2016
771.29;0;1099;619080;;0;07/06/2016
751.55;0;1102.91;619080;;0;08/06/2016
751.55;0;1099;619080;;0;09/06/2016
751.55;0;1099;619080;;0;10/06/2016
751.55;0;1073.57;619080;;0;11/06/2016
751.55;0;1073.57;619080;;0;12/06/2016
771.29;0;1041.58;619080;;0;13/06/2016
814.14;0;1041.58;619080;;0;14/06/2016
771.29;0;1041.58;619080;;0;15/06/2016
