precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
1899.05;0;2279.05;623510;;0;29/08/2016
1899.05;0;1899.05;623510;;0;30/08/2016
1899.05;1899;1899.05;623510;;0;31/08/2016
1851.55;1899;2184.99;623510;;0;01/09/2016
1851.55;1899;2184.99;623510;;0;02/09/2016
1851.55;1851;2184.99;623510;;0;03/09/2016
1851.55;1851;2042.49;623510;;0;04/09/2016
1799.99;1851;2042.49;623510;;0;05/09/2016
1799.99;1851;2042.49;623510;;0;06/09/2016
1799.99;1799;2042.49;623510;;0;07/09/2016
1799.99;1799;2042.49;623510;;0;08/09/2016
1799.99;1799;1934.99;623510;;0;09/09/2016
1799.99;1799;2094.99;623510;;0;10/09/2016
1799.99;1799;2094.99;623510;;0;11/09/2016
1709.99;1799;2094.99;623510;;0;12/09/2016
1709.99;1799;2040.6;623510;;0;13/09/2016
1701;1709;1933.2;623510;;0;14/09/2016
1701;1709;1933.2;623510;;0;15/09/2016
1701;1701;2040.6;623510;;0;16/09/2016
1709.99;1701;2040.6;623510;;0;17/09/2016
1709.99;1701;2040.6;623510;;0;18/09/2016
1709.99;1701;2399.9;623510;;0;19/09/2016
1664.99;1701;2399.9;623510;;0;20/09/2016
1627.99;1701;2399.9;623510;;0;21/09/2016
1627.99;1664;2399.9;623510;;0;22/09/2016
1627.99;1627;2399.9;623510;;0;23/09/2016
1655.99;1627;2399.9;623510;;0;24/09/2016
1655.99;1627;2399.9;623510;;0;25/09/2016
1655.99;1627;2399.9;623510;;0;26/09/2016
1619.99;1627;2399.9;623510;;0;27/09/2016
1619.99;1627;2399.9;623510;;0;28/09/2016
1619.99;1619;2399.9;623510;;0;29/09/2016
1529.99;1619;2499;623510;;0;30/09/2016
1529.99;1619;2499;623510;;0;01/10/2016
1709.05;1529;2499;623510;;0;02/10/2016
1709.05;1529;2499;623510;;0;03/10/2016
1699;1529;2499;623510;;0;04/10/2016
1699;1529;2499;623510;;0;05/10/2016
1709.05;1529;2499;623510;;0;06/10/2016
1709.05;1529;2499;623510;;0;07/10/2016
1699;1529;2499;623510;;0;08/10/2016
1699;1529;2499;623510;;0;09/10/2016
1664.99;1529;2499;623510;;0;10/10/2016
1664.99;1529;2499;623510;;0;11/10/2016
1664.99;1529;2499;623510;;0;12/10/2016
1610.99;1529;2499;623510;;0;13/10/2016
1610.99;1529;2499;623510;;0;14/10/2016
1610.99;1529;2499;623510;;0;15/10/2016
1610.99;1529;2399.9;623510;;0;16/10/2016
1610.99;1529;2399.9;623510;;0;17/10/2016
1627.99;1529;2219;623510;;0;19/10/2016
1627.99;1529;2219;623510;;0;20/10/2016
1619.99;1529;2040.6;623510;;0;21/10/2016
1619.99;1529;2040.6;623510;;0;22/10/2016
1619.99;1529;2040.6;623510;;0;23/10/2016
1619.99;1529;2399.9;623510;;0;24/10/2016
1619.99;1529;2499;623510;;0;25/10/2016
1619.99;1529;2399.9;623510;;0;26/10/2016
1619.99;1529;2399.9;623510;;0;27/10/2016
1619.99;1529;2399.9;623510;;0;28/10/2016
1592.99;1529;2399.9;623510;;0;29/10/2016
1592.99;1529;2399.9;623510;;0;30/10/2016
1592.99;1592;2399.9;623510;;0;31/10/2016
1592.99;1592;2399.9;623510;;0;01/11/2016
1592.99;1592;2399.9;623510;;0;02/11/2016
1592.99;1592;2399.9;623510;;0;03/11/2016
1619.99;1529;2998.98;623510;;0;04/11/2016
1619.99;1529;2998.98;623510;;0;05/11/2016
1619.99;1529;2998.98;623510;;0;06/11/2016
1619.99;1529;2998.98;623510;;0;07/11/2016
1592.99;1529;2998.98;623510;;0;08/11/2016
1610.99;1529;2998.98;623510;;0;09/11/2016
1610.99;1529;2998.98;623510;;0;10/11/2016
1610.99;1529;2998.98;623510;;0;11/11/2016
1592.1;1529;2998.98;623510;;0;12/11/2016
1592.1;1529;2998.98;623510;;0;13/11/2016
1592.1;1529;2998.98;623510;;0;14/11/2016
1592.1;1529;2998.98;623510;;0;15/11/2016
1592.1;1529;2399.9;623510;;0;16/11/2016
1592.1;1529;2399.9;623510;;0;17/11/2016
1592.1;1529;2399.9;623510;;0;18/11/2016
1592.1;1529;2399.9;623510;;0;19/11/2016
1592.1;1529;2998.98;623510;;0;20/11/2016
1592.1;1529;2998.98;623510;;0;21/11/2016
1592.1;1529;2998.98;623510;;0;22/11/2016
1592.1;1529;2998.98;623510;;0;23/11/2016
1484.99;1529;2999;623510;;0;24/11/2016
1451.99;1529;2999;623510;;0;25/11/2016
1451.99;1529;2999;623510;;0;26/11/2016
1451.99;1529;2199;623510;;0;27/11/2016
1451.99;1529;2999;623510;;0;28/11/2016
1451.99;1529;2999;623510;;0;29/11/2016
1583.12;1529;2278.96;623510;;0;30/11/2016
1557.59;1484;2278.96;623510;;0;01/12/2016
1592.99;1451;2278.96;623510;;0;02/12/2016
1619.99;1451;2199;623510;;0;03/12/2016
1574.99;1451;2199;623510;;0;04/12/2016
1574.99;1451;2299.9;623510;;0;05/12/2016
1574.99;1451;2599.9;623510;;0;06/12/2016
1529.99;1451;2599.9;623510;;0;07/12/2016
1529.99;1451;2599.9;623510;;0;08/12/2016
1529.99;1451;2599.9;623510;;0;09/12/2016
1619.99;1451;2599.9;623510;;0;10/12/2016
1619.99;1451;2599.9;623510;;0;11/12/2016
1619.99;1451;2599.9;623510;;0;12/12/2016
1619.99;1451;2469.91;623510;;0;13/12/2016
1619.99;1451;2469.91;623510;;0;14/12/2016
1619.99;1451;2469.91;623510;;0;15/12/2016
1619.99;1451;2469.91;623510;;0;16/12/2016
1619.99;1451;2469.91;623510;;0;17/12/2016
1619.99;1451;2469.91;623510;;0;18/12/2016
1619.99;1619;2469.91;623510;;0;19/12/2016
1499;1619;2469.91;623510;;0;20/12/2016
1549.99;1619;2469.91;623510;;0;21/12/2016
1549.99;1499;2469.91;623510;;0;22/12/2016
1549.99;1499;2469.91;623510;;0;23/12/2016
1619.1;1499;2469.91;623510;;0;24/12/2016
1619.1;1499;2469.91;623510;;0;25/12/2016
1619.1;1499;2469.91;623510;;0;26/12/2016
1619.1;1499;2469.91;623510;;0;27/12/2016
1619.1;1549;2469.91;623510;;0;28/12/2016
1619.1;1549;2469.91;623510;;0;29/12/2016
1619.1;1549;2469.91;623510;;0;30/12/2016
1619.1;1619;2469.91;623510;;0;31/12/2016
1619.1;1619;2469.91;623510;;0;01/01/2017
1592.1;1619;2469.91;623510;;0;02/01/2017
1592.1;1619;2469.91;623510;;0;03/01/2017
1619.1;1592;2469.91;623510;;0;04/01/2017
1619.1;1592;2469.91;623510;;0;05/01/2017
1619.1;1592;2469.91;623510;;0;06/01/2017
1619.1;1592;2469.91;623510;;0;07/01/2017
1619.1;1592;2469.91;623510;;0;08/01/2017
1619.1;1592;2499;623510;;0;09/01/2017
1664.1;1592;2499;623510;;0;10/01/2017
1664.1;1619;2499;623510;;0;11/01/2017
1673.09;1619;2499;623510;;0;12/01/2017
1673.09;1619;2499;623510;;0;13/01/2017
1673.09;1619;2499;623510;;0;14/01/2017
1673.09;1619;2499;623510;;0;15/01/2017
1709.99;1619;2499;623510;;0;16/01/2017
1699;1664;2499;623510;;0;17/01/2017
1699;1664;2499;623510;;0;18/01/2017
1804.99;1673;2499;623510;;0;19/01/2017
1698.97;1549;2499;623510;;0;20/01/2017
1698.97;1549;2499;623510;;0;21/01/2017
1698.97;1549;2499;623510;;0;22/01/2017
1698.97;1592;2499;623510;;0;23/01/2017
1679;1592;2499;623510;;0;24/01/2017
1679;1592;2499;623510;;0;25/01/2017
1679;1592;2499;623510;;0;26/01/2017
1679;1592;2499;623510;;0;27/01/2017
1679;1592;2499;623510;;0;28/01/2017
1679;1592;2499;623510;;0;29/01/2017
1679;1592;2499;623510;;0;30/01/2017
1646.99;1592;2499;623510;;0;31/01/2017
1619.1;1592;2499;623510;;0;01/02/2017
1709.05;1592;2499;623510;;0;02/02/2017
1709.05;1619;2299;623510;;0;03/02/2017
1709.05;1619;2299;623510;;0;04/02/2017
1709.05;1619;2299;623510;;0;05/02/2017
1709.05;1619;2299;623510;;0;06/02/2017
1709.05;1619;2694.9;623510;;0;07/02/2017
1709.05;1619;2694.9;623510;;0;08/02/2017
1709.99;1619;2694.9;623510;;0;09/02/2017
1709.99;1619;2299;623510;;0;10/02/2017
1709.99;1619;2299;623510;;0;11/02/2017
1709.99;1619;2299;623510;;0;12/02/2017
1699;1619;2659.05;623510;;0;13/02/2017
1699;1619;2299;623510;;0;14/02/2017
1785.99;1619;2891.14;623510;;0;15/02/2017
1795.49;1619;2891.14;623510;;0;16/02/2017
