precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
2069.1;0;2499;618960;;0;18/02/2016
2124.15;0;2499.9;618960;;0;19/02/2016
2024.1;0;2499.9;618960;;0;20/02/2016
2024.1;0;2499.9;618960;;0;21/02/2016
2024;0;2499.9;618960;;0;22/02/2016
2024;0;2499.9;618960;;0;23/02/2016
2068.9;0;2499.9;618960;;0;24/02/2016
2068.89;0;2499.9;618960;;0;25/02/2016
1918.99;0;2499.9;618960;;0;26/02/2016
1918.99;0;2499.9;618960;;0;27/02/2016
1918.99;0;2499.9;618960;;0;28/02/2016
2068.9;0;2499.9;618960;;0;29/02/2016
2068.9;0;2499.9;618960;;0;01/03/2016
2068.9;0;2499.9;618960;;0;02/03/2016
2068.9;0;2499;618960;;0;03/03/2016
2068.9;0;2499;618960;;0;04/03/2016
2068.9;0;2499;618960;;0;05/03/2016
2069.1;0;2399;618960;;0;06/03/2016
1893.99;0;2499;618960;;0;07/03/2016
1893.99;0;2499;618960;;0;08/03/2016
1893.99;0;2499;618960;;0;09/03/2016
1893.99;0;2499;618960;;0;10/03/2016
1893.99;0;2499;618960;;0;11/03/2016
1893.99;0;2499;618960;;0;12/03/2016
1978.2;0;2499;618960;;0;13/03/2016
1893.99;0;2499;618960;;0;14/03/2016
1893.9;0;2499;618960;;0;15/03/2016
1893.99;0;2499.9;618960;;0;16/03/2016
1899.99;0;2499.9;618960;;0;17/03/2016
1899.99;0;2499.9;618960;;0;18/03/2016
1893.9;0;2499.9;618960;;0;19/03/2016
1899.99;0;2499.9;618960;;0;20/03/2016
1893.9;0;2499.9;618960;;0;21/03/2016
1893.9;0;2499.9;618960;;0;22/03/2016
1899.99;0;2499.9;618960;;0;23/03/2016
1899.99;0;2499.9;618960;;0;24/03/2016
1960.05;0;2499.9;618960;;0;25/03/2016
1959.63;0;2499.9;618960;;0;26/03/2016
1958.86;0;2499.9;618960;;0;27/03/2016
1958.16;0;2499.9;618960;;0;28/03/2016
1899.99;0;2499.9;618960;;0;29/03/2016
1899.99;0;2499.9;618960;;0;30/03/2016
1899.99;0;2499.9;618960;;0;31/03/2016
1869.15;0;2499.9;618960;;0;01/04/2016
1961.01;0;2499.9;618960;;0;02/04/2016
1961.01;0;2499.9;618960;;0;03/04/2016
1961.01;0;2499.9;618960;;0;04/04/2016
1961.01;0;2499.9;618960;;0;05/04/2016
1961.01;0;2827.9;618960;;0;06/04/2016
1979.1;0;2827.9;618960;;0;07/04/2016
1961.01;0;2827.9;618960;;0;08/04/2016
1961.01;0;2827.9;618960;;0;09/04/2016
1961.01;0;2827.9;618960;;0;10/04/2016
1961.01;0;2827.9;618960;;0;11/04/2016
1935.12;0;2827.9;618960;;0;12/04/2016
1879.25;0;2892.9;618960;;0;13/04/2016
1978.2;0;2827.9;618960;;0;14/04/2016
1978.2;0;2892.9;618960;;0;15/04/2016
1869.57;0;2827.9;618960;;0;16/04/2016
1869.57;0;2892.9;618960;;0;17/04/2016
1869.57;0;2827.9;618960;;0;18/04/2016
1898.4;0;2827.9;618960;;0;19/04/2016
1754.1;0;2892.9;618960;;0;20/04/2016
1754.1;0;2892.9;618960;;0;21/04/2016
1754.1;0;2892.9;618960;;0;22/04/2016
1898.4;0;2892.9;618960;;0;23/04/2016
1754.1;0;2892.9;618960;;0;24/04/2016
1898.4;0;2892.9;618960;;0;25/04/2016
1803.43;0;2827.9;618960;;0;26/04/2016
1803.43;0;2892.9;618960;;0;27/04/2016
1803.43;0;2827.9;618960;;0;28/04/2016
1803.43;0;2827.9;618960;;0;29/04/2016
1910.39;0;2827.9;618960;;0;30/04/2016
1910.39;0;2892.9;618960;;0;01/05/2016
1910.39;0;2892.9;618960;;0;02/05/2016
1749.9;0;2499;618960;;0;03/05/2016
1869.15;0;2499;618960;;0;04/05/2016
1742.31;0;2499;618960;;0;05/05/2016
1803.43;0;2505.9;618960;;0;06/05/2016
1782.9;0;2505.9;618960;;0;07/05/2016
1782.9;0;2505.9;618960;;0;08/05/2016
1889.1;0;2505.9;618960;;0;09/05/2016
1803.43;0;2505.9;618960;;0;10/05/2016
1847.03;0;2505.9;618960;;0;11/05/2016
1807.43;0;2505.9;618960;;0;12/05/2016
1799.1;0;2505.9;618960;;0;13/05/2016
1759.12;0;2505.9;618960;;0;14/05/2016
1759.12;0;2505.9;618960;;0;15/05/2016
1671.03;0;2505.9;618960;;0;16/05/2016
1671.12;0;2505.9;618960;;0;17/05/2016
1671.12;0;2505.9;618960;;0;18/05/2016
1671.12;0;2505.9;618960;;0;19/05/2016
1671.12;0;2499.9;618960;;0;20/05/2016
1671.12;0;2499;618960;;0;21/05/2016
1671.12;0;2499.9;618960;;0;22/05/2016
1671.12;0;2499.9;618960;;0;23/05/2016
1671.12;0;2499.9;618960;;0;24/05/2016
1803.43;0;2499;618960;;0;25/05/2016
1803.43;0;2499;618960;;0;26/05/2016
1803.43;0;2499;618960;;0;27/05/2016
1759.12;0;2499;618960;;0;28/05/2016
1759.12;0;2499;618960;;0;29/05/2016
1799;0;2499;618960;;0;30/05/2016
1709.1;0;2499;618960;;0;31/05/2016
1799;0;2499;618960;;0;01/06/2016
1689.99;0;2499;618960;;0;02/06/2016
1671.12;0;2499;618960;;0;03/06/2016
1671.12;0;2499;618960;;0;04/06/2016
1671.12;0;2499;618960;;0;05/06/2016
1671.12;0;2374.05;618960;;0;06/06/2016
1671.12;0;2499;618960;;0;07/06/2016
1671.12;0;2499;618960;;0;08/06/2016
1671.12;0;2499;618960;;0;09/06/2016
1671.12;0;2499;618960;;0;10/06/2016
1671.12;0;2499;618960;;0;11/06/2016
1741.43;0;2374.05;618960;;0;12/06/2016
1741.43;0;2499;618960;;0;13/06/2016
1671.12;0;2374.05;618960;;0;14/06/2016
1671.12;0;2499;618960;;0;15/06/2016
1671.12;0;2499;618960;;0;16/06/2016
1671.12;0;2499;618960;;0;17/06/2016
1623.64;0;2499;618960;;0;18/06/2016
1671.12;0;2499;618960;;0;20/06/2016
1759.12;0;2499;618960;;0;22/06/2016
1759.12;0;2499;618960;;0;23/06/2016
1755.95;0;2499;618960;;0;25/06/2016
