precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
540.23;0;1583.35;253895;;0;18/02/2016
689.99;0;1536.09;253895;;0;19/02/2016
689.99;0;1536.09;253895;;0;20/02/2016
689.99;0;1536.09;253895;;0;21/02/2016
689.99;0;1536.09;253895;;0;22/02/2016
689.99;0;1536.09;253895;;0;23/02/2016
689.99;0;1351.9;253895;;0;24/02/2016
689.99;0;1351.9;253895;;0;25/02/2016
689.9;0;1351.9;253895;;0;26/02/2016
689.9;0;1351.9;253895;;0;27/02/2016
689.9;0;1351.9;253895;;0;28/02/2016
689.9;0;1351.9;253895;;0;29/02/2016
689.9;0;1351.9;253895;;0;01/03/2016
688.99;0;1351.9;253895;;0;02/03/2016
684.9;0;1351.9;253895;;0;03/03/2016
684.9;0;1351.9;253895;;0;04/03/2016
684.9;0;1351.9;253895;;0;05/03/2016
709.99;0;1351.9;253895;;0;06/03/2016
684.9;0;1351.9;253895;;0;07/03/2016
684.9;0;1351.9;253895;;0;08/03/2016
684.9;0;1351.9;253895;;0;09/03/2016
684.9;0;1351.9;253895;;0;10/03/2016
689.9;0;1351.9;253895;;0;11/03/2016
689.9;0;1351.9;253895;;0;12/03/2016
717.96;0;1351.9;253895;;0;13/03/2016
689.9;0;1351.9;253895;;0;14/03/2016
689.9;0;1351.9;253895;;0;15/03/2016
717.96;0;1351.9;253895;;0;16/03/2016
719.99;0;1351.9;253895;;0;17/03/2016
719.99;0;1382;253895;;0;18/03/2016
719.99;0;1382;253895;;0;19/03/2016
719.99;0;1382;253895;;0;20/03/2016
719.99;0;1382;253895;;0;21/03/2016
719.99;0;1398.9;253895;;0;22/03/2016
717.99;0;1398.9;253895;;0;23/03/2016
717.99;0;1398.9;253895;;0;24/03/2016
716.9;0;1398.9;253895;;0;25/03/2016
716.9;0;1398.9;253895;;0;26/03/2016
716.9;0;1398.9;253895;;0;27/03/2016
716.9;0;1398.9;253895;;0;28/03/2016
789.9;0;1398.9;253895;;0;29/03/2016
790.5;0;1398.9;253895;;0;30/03/2016
787.96;0;1398.9;253895;;0;31/03/2016
779.89;0;1398.9;253895;;0;01/04/2016
777.98;0;1398.9;253895;;0;02/04/2016
777.98;0;1398.9;253895;;0;03/04/2016
772.99;0;1398.9;253895;;0;04/04/2016
775.49;0;1398.9;253895;;0;05/04/2016
755.5;0;1328.96;253895;;0;06/04/2016
749.5;0;1536.09;253895;;0;07/04/2016
744.99;0;1536.09;253895;;0;08/04/2016
734.29;0;1536.09;253895;;0;09/04/2016
739.98;0;1536.09;253895;;0;10/04/2016
739.9;0;1536.09;253895;;0;11/04/2016
729;0;1536.09;253895;;0;12/04/2016
729;0;1536.09;253895;;0;13/04/2016
737.99;0;1536.09;253895;;0;14/04/2016
745.6;0;1510.55;253895;;0;15/04/2016
759.9;0;1694.6;253895;;0;16/04/2016
759.9;0;1694.6;253895;;0;17/04/2016
759.9;0;1694.6;253895;;0;18/04/2016
759;0;1510.55;253895;;0;19/04/2016
759.89;0;1510.55;253895;;0;20/04/2016
754.89;0;1510.55;253895;;0;21/04/2016
759.89;0;1499;253895;;0;22/04/2016
759.89;0;1694.6;253895;;0;23/04/2016
759.89;0;1694.6;253895;;0;24/04/2016
