precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
259;0;568.9;587522;;0;18/02/2016
297.17;0;568.9;587522;;0;19/02/2016
294;0;568.9;587522;;0;20/02/2016
294;0;568.9;587522;;0;21/02/2016
314.9;0;568.9;587522;;0;22/02/2016
305.1;0;568.9;587522;;0;23/02/2016
305.1;0;568.9;587522;;0;24/02/2016
305.1;0;499;587522;;0;25/02/2016
305.57;0;499;587522;;0;26/02/2016
285.74;0;499.9;587522;;0;27/02/2016
269.04;0;499.9;587522;;0;28/02/2016
269.13;0;499.9;587522;;0;29/02/2016
269.13;0;499.9;587522;;0;01/03/2016
269.04;0;568.9;587522;;0;02/03/2016
288.61;0;568.9;587522;;0;03/03/2016
285.74;0;568.9;587522;;0;04/03/2016
285.74;0;568.9;587522;;0;05/03/2016
285.74;0;568.9;587522;;0;06/03/2016
279;0;568.9;587522;;0;07/03/2016
279;0;568.9;587522;;0;08/03/2016
269.91;0;568.9;587522;;0;09/03/2016
269.3;0;568.9;587522;;0;10/03/2016
269.91;0;568.9;587522;;0;11/03/2016
254.15;0;568.9;587522;;0;12/03/2016
254.15;0;568.9;587522;;0;13/03/2016
269.91;0;568.9;587522;;0;14/03/2016
263.91;0;568.9;587522;;0;15/03/2016
234.57;0;568.9;587522;;0;16/03/2016
234.57;0;568.9;587522;;0;17/03/2016
234.57;0;568.9;587522;;0;18/03/2016
234.57;0;568.9;587522;;0;19/03/2016
234.57;0;568.9;587522;;0;20/03/2016
234.57;0;568.9;587522;;0;21/03/2016
234.57;0;568.9;587522;;0;22/03/2016
264.7;0;568.9;587522;;0;23/03/2016
246.9;0;568.9;587522;;0;24/03/2016
246.9;0;559;587522;;0;25/03/2016
246.9;0;559;587522;;0;26/03/2016
246.9;0;568.9;587522;;0;27/03/2016
228.71;0;503.1;587522;;0;28/03/2016
228.71;0;499;587522;;0;29/03/2016
255.55;0;499;587522;;0;30/03/2016
264.69;0;540.55;587522;;0;31/03/2016
264.7;0;499;587522;;0;01/04/2016
289.43;0;499;587522;;0;02/04/2016
289.43;0;499;587522;;0;03/04/2016
289.43;0;499;587522;;0;04/04/2016
289.43;0;499;587522;;0;05/04/2016
289.43;0;499;587522;;0;06/04/2016
305.91;0;499.9;587522;;0;07/04/2016
289.43;0;499.9;587522;;0;08/04/2016
269.91;0;499.9;587522;;0;09/04/2016
269.1;0;499.9;587522;;0;10/04/2016
289.43;0;499;587522;;0;11/04/2016
283.96;0;499;587522;;0;12/04/2016
283.96;0;568.9;587522;;0;13/04/2016
298.9;0;512.9;587522;;0;14/04/2016
299.9;0;499.9;587522;;0;15/04/2016
289.9;0;568.9;587522;;0;16/04/2016
289.9;0;568.9;587522;;0;17/04/2016
289.9;0;568.9;587522;;0;18/04/2016
312.55;0;568.9;587522;;0;19/04/2016
312.55;0;568.9;587522;;0;20/04/2016
299.69;0;568.9;587522;;0;21/04/2016
299.69;0;568.9;587522;;0;22/04/2016
278.6;0;568.9;587522;;0;23/04/2016
312.55;0;568.9;587522;;0;24/04/2016
312.55;0;568.9;587522;;0;25/04/2016
323.92;0;568.9;587522;;0;26/04/2016
312.55;0;568.9;587522;;0;27/04/2016
312.55;0;549.9;587522;;0;28/04/2016
312.55;0;549.9;587522;;0;29/04/2016
323.92;0;549.9;587522;;0;30/04/2016
331.55;0;549.9;587522;;0;01/05/2016
331.55;0;499;587522;;0;02/05/2016
314.01;0;549;587522;;0;03/05/2016
331.55;0;549;587522;;0;04/05/2016
331.55;0;549;587522;;0;05/05/2016
359.91;0;549;587522;;0;06/05/2016
307.72;0;549;587522;;0;07/05/2016
307.72;0;549;587522;;0;08/05/2016
331.55;0;499;587522;;0;09/05/2016
331.55;0;549;587522;;0;10/05/2016
306.77;0;549;587522;;0;11/05/2016
306.77;0;549;587522;;0;12/05/2016
290.63;0;549;587522;;0;13/05/2016
290.63;0;549;587522;;0;14/05/2016
290.63;0;549;587522;;0;15/05/2016
331.55;0;549;587522;;0;16/05/2016
