precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
1899.05;0;3653.84;502162;;0;18/02/2016
1899.05;0;3653.84;502162;;0;19/02/2016
1899;0;3653.84;502162;;0;20/02/2016
1899;0;3653.84;502162;;0;21/02/2016
1899;0;3653.84;502162;;0;22/02/2016
1899;0;3653.84;502162;;0;23/02/2016
1899;0;3653.84;502162;;0;24/02/2016
1899;0;3653.84;502162;;0;25/02/2016
1899;0;3653.84;502162;;0;26/02/2016
1899;0;3833.9;502162;;0;27/02/2016
1899;0;3779.9;502162;;0;28/02/2016
1949.9;0;3833.9;502162;;0;29/02/2016
1949.9;0;3653.84;502162;;0;01/03/2016
1799.9;0;3653.84;502162;;0;02/03/2016
1799.9;0;3653.84;502162;;0;03/03/2016
1799.9;0;3521.77;502162;;0;04/03/2016
1799.9;0;3521.77;502162;;0;05/03/2016
1799.9;0;3521.77;502162;;0;06/03/2016
1899;0;3521.77;502162;;0;07/03/2016
1899;0;3521.77;502162;;0;08/03/2016
1899;0;3521.77;502162;;0;09/03/2016
1899;0;3521.77;502162;;0;10/03/2016
1868;0;3521.77;502162;;0;11/03/2016
1854.88;0;3521.77;502162;;0;12/03/2016
1854.78;0;3521.77;502162;;0;13/03/2016
1848.9;0;3521.77;502162;;0;14/03/2016
1828.99;0;3521.77;502162;;0;15/03/2016
1799.9;0;3521.77;502162;;0;16/03/2016
1799.9;0;3521.77;502162;;0;17/03/2016
1759.91;0;3521.77;502162;;0;18/03/2016
1759.91;0;3449.99;502162;;0;19/03/2016
1759.91;0;3521.77;502162;;0;20/03/2016
1759.91;0;3449.99;502162;;0;21/03/2016
1847.89;0;3449.99;502162;;0;22/03/2016
1759.91;0;3449.99;502162;;0;23/03/2016
1759.91;0;3449.99;502162;;0;24/03/2016
1759.91;0;3449.99;502162;;0;25/03/2016
1759.91;0;3449.99;502162;;0;26/03/2016
1759.91;0;3449.99;502162;;0;27/03/2016
1849.99;0;3449.99;502162;;0;28/03/2016
1849.99;0;3449.99;502162;;0;29/03/2016
1849.99;0;3449.99;502162;;0;30/03/2016
1849.99;0;3449.99;502162;;0;31/03/2016
1849.99;0;3449.99;502162;;0;01/04/2016
1799.91;0;3449.99;502162;;0;02/04/2016
1799.91;0;3449.99;502162;;0;03/04/2016
1799.91;0;3449.99;502162;;0;04/04/2016
1799.91;0;4657.9;502162;;0;05/04/2016
1799;0;4657.9;502162;;0;06/04/2016
1799;0;4751.9;502162;;0;07/04/2016
1799;0;3449.99;502162;;0;08/04/2016
1799;0;3449.99;502162;;0;09/04/2016
1799;0;3449.99;502162;;0;10/04/2016
1799;0;3449.99;502162;;0;11/04/2016
1799;0;3469.97;502162;;0;12/04/2016
1799;0;3469.97;502162;;0;13/04/2016
1799;0;3449.99;502162;;0;14/04/2016
1799.91;0;3449.99;502162;;0;15/04/2016
1799;0;3449.99;502162;;0;16/04/2016
1799;0;3449.99;502162;;0;17/04/2016
1799;0;3449.99;502162;;0;18/04/2016
1799.91;0;3449.99;502162;;0;19/04/2016
1798.99;0;3449.99;502162;;0;20/04/2016
1798.99;0;3449.99;502162;;0;21/04/2016
1798.99;0;3449.99;502162;;0;22/04/2016
1798.99;0;3449.99;502162;;0;23/04/2016
1798.99;0;3449.99;502162;;0;24/04/2016
1798.99;0;3449.99;502162;;0;25/04/2016
1798.99;0;3449.99;502162;;0;26/04/2016
1789.99;0;3449.99;502162;;0;27/04/2016
1749.9;0;3449.99;502162;;0;28/04/2016
1699.99;0;3449.99;502162;;0;29/04/2016
1699.99;0;3449.99;502162;;0;30/04/2016
1699.99;0;3449.99;502162;;0;01/05/2016
1699.99;0;3449.99;502162;;0;02/05/2016
1699.99;0;3449.99;502162;;0;03/05/2016
1699.99;0;3449.99;502162;;0;04/05/2016
1799.9;0;3449.99;502162;;0;05/05/2016
1799.9;0;3449.99;502162;;0;06/05/2016
1799.9;0;3449.99;502162;;0;07/05/2016
1742;0;3449.99;502162;;0;08/05/2016
1699.99;0;3449.99;502162;;0;09/05/2016
1699.99;0;3449.99;502162;;0;10/05/2016
1699.99;0;3449.99;502162;;0;11/05/2016
1699.99;0;3449.99;502162;;0;12/05/2016
1629.9;0;3449.99;502162;;0;13/05/2016
1629.9;0;3449.99;502162;;0;14/05/2016
1629.9;0;3449.99;502162;;0;15/05/2016
1629.9;0;3449.99;502162;;0;16/05/2016
1629.9;0;3449.99;502162;;0;17/05/2016
1629.9;0;3449.99;502162;;0;18/05/2016
1629.9;0;3449.99;502162;;0;19/05/2016
1629.9;0;3449.99;502162;;0;20/05/2016
1629.9;0;3449.99;502162;;0;21/05/2016
1629.9;0;3449.99;502162;;0;22/05/2016
1688.02;0;3449.99;502162;;0;23/05/2016
1699;0;3449.99;502162;;0;24/05/2016
