precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
998.15;0;1429;621940;;0;17/06/2016
998.15;0;1429;621940;;0;18/06/2016
998.15;0;1429;621940;;0;20/06/2016
998.15;0;1519.05;621940;;0;22/06/2016
926.69;0;1429;621940;;0;23/06/2016
989.1;0;1429;621940;;0;25/06/2016
967.12;0;1429;621940;;0;27/06/2016
1055.12;0;1429;621940;;0;02/07/2016
1055.11;0;1429;621940;;0;05/07/2016
1034.99;0;1429;621940;;0;06/07/2016
1031.68;0;1429;621940;;0;07/07/2016
1031.68;0;1429;621940;;0;08/07/2016
1031.68;0;1429;621940;;0;09/07/2016
1070.09;0;1429;621940;;0;10/07/2016
1067.39;0;1519.05;621940;;0;11/07/2016
1034.99;0;1499;621940;;0;12/07/2016
1067.39;0;1499;621940;;0;13/07/2016
1034.99;0;1499;621940;;0;14/07/2016
1016.99;0;1429;621940;;0;19/07/2016
1034.99;0;1376.08;621940;;0;20/07/2016
1067.39;0;1376.08;621940;;0;21/07/2016
1067.39;0;1376.08;621940;;0;22/07/2016
1041.15;0;1376.08;621940;;0;23/07/2016
1041.15;0;1376.08;621940;;0;24/07/2016
899.99;0;1376.08;621940;;0;25/07/2016
899.99;0;2309;621940;;0;26/07/2016
1066.49;0;2309;621940;;0;27/07/2016
1031.68;0;2309;621940;;0;28/07/2016
989.99;0;2309;621940;;0;29/07/2016
989.99;0;2309;621940;;0;30/07/2016
989.99;0;2309;621940;;0;31/07/2016
949;0;3748;621940;;0;01/08/2016
949;0;3748;621940;;0;02/08/2016
899;0;3098;621940;;0;03/08/2016
899;0;2899;621940;;0;04/08/2016
979;0;3160.9;621940;;0;05/08/2016
979;0;3160.9;621940;;0;06/08/2016
979;0;3160.9;621940;;0;07/08/2016
979;0;2979;621940;;0;08/08/2016
949;899;2979;621940;;0;09/08/2016
949;899;3039.95;621940;;0;10/08/2016
949;899;3180.9;621940;;0;11/08/2016
949;899;3180.9;621940;;0;12/08/2016
949;899;2999;621940;;0;13/08/2016
949;899;2999;621940;;0;14/08/2016
949;899;2999;621940;;0;15/08/2016
949;899;2999;621940;;0;16/08/2016
949;899;3043.46;621940;;0;17/08/2016
949;899;3043.46;621940;;0;18/08/2016
949;899;3043.46;621940;;0;19/08/2016
949;899;3043.46;621940;;0;20/08/2016
949;899;3043.46;621940;;0;21/08/2016
949;899;3170.1;621940;;0;22/08/2016
949;899;3170.1;621940;;0;23/08/2016
949;899;3167.9;621940;;0;24/08/2016
949;899;3167.91;621940;;0;25/08/2016
949;899;3167.91;621940;;0;26/08/2016
