precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
1099;0;1099;620158;;0;26/04/2016
1011.69;0;1099;620158;;0;27/04/2016
1011.69;0;1011.69;620158;;0;28/04/2016
1011.69;0;1011.69;620158;;0;29/04/2016
1011.69;0;1011.69;620158;;0;30/04/2016
1011.69;0;1011.69;620158;;0;03/05/2016
1011.69;0;1221.11;620158;;0;05/05/2016
1016.6;0;1016.6;620158;;0;16/05/2016
1139.05;0;1139.05;620158;;0;17/05/2016
1025.14;0;1025.14;620158;;0;18/05/2016
1067.9;0;1067.9;620158;;0;20/05/2016
1160.05;0;1160.05;620158;;0;26/05/2016
1248.96;0;1248.96;620158;;0;01/06/2016
1186.55;0;1224.5;620158;;0;02/06/2016
1127.22;0;1224.5;620158;;0;03/06/2016
1127.22;0;1224.5;620158;;0;04/06/2016
1127.22;0;1288.95;620158;;0;05/06/2016
1067.89;0;1288.95;620158;;0;06/06/2016
1067.89;0;1186.55;620158;;0;07/06/2016
1120.05;0;1189;620158;;0;08/06/2016
1120.05;0;1189;620158;;0;09/06/2016
1120.05;0;1189;620158;;0;10/06/2016
1120.05;0;1189;620158;;0;11/06/2016
1120.05;0;1189;620158;;0;12/06/2016
1186.55;0;1189;620158;;0;13/06/2016
1139.05;0;1189;620158;;0;14/06/2016
1124.1;0;1189;620158;;0;15/06/2016
1124.1;0;1189;620158;;0;16/06/2016
1034.1;0;1189;620158;;0;17/06/2016
1034.1;0;1189;620158;;0;18/06/2016
1034.1;0;1189;620158;;0;20/06/2016
1016.1;0;1189;620158;;0;22/06/2016
1016.1;0;1124.1;620158;;0;23/06/2016
1124.1;0;1124.99;620158;;0;02/07/2016
1070.09;0;1129.54;620158;;0;05/07/2016
1034.09;0;1189;620158;;0;06/07/2016
1189;0;1189;620158;;0;07/07/2016
1127.64;0;1127.64;620158;;0;08/07/2016
1127.64;0;1127.64;620158;;0;09/07/2016
1129.54;0;1129.54;620158;;0;12/07/2016
1139.04;0;1139.04;620158;;0;13/07/2016
1129.54;0;1129.54;620158;;0;14/07/2016
1149;0;1149;620158;;0;19/07/2016
1189;0;1189;620158;;0;20/07/2016
1129.55;0;1129.55;620158;;0;21/07/2016
1129.54;0;1142.84;620158;;0;22/07/2016
1129.55;0;1129.55;620158;;0;23/07/2016
1649;0;1649;620158;;0;26/07/2016
1129.54;0;1649;620158;;0;27/07/2016
1125.74;0;1649;620158;;0;28/07/2016
1125.74;0;1649;620158;;0;29/07/2016
1116.24;0;1649;620158;;0;30/07/2016
1116.24;0;1649;620158;;0;31/07/2016
1116.24;0;1649;620158;;0;01/08/2016
1044.99;0;1649;620158;;0;02/08/2016
1116.24;0;1649;620158;;0;03/08/2016
1116.24;0;1649;620158;;0;04/08/2016
1116.24;0;1649;620158;;0;05/08/2016
1116.24;0;1649;620158;;0;06/08/2016
1116.24;0;1649;620158;;0;07/08/2016
1116.24;0;1649;620158;;0;08/08/2016
1093.92;1044;1649;620158;;0;09/08/2016
1093.92;1044;1648.96;620158;;0;10/08/2016
1101.99;1044;1648.96;620158;;0;11/08/2016
1101.99;1044;1648.96;620158;;0;12/08/2016
1093.92;1044;1648.96;620158;;0;13/08/2016
1093.92;1044;1648.96;620158;;0;14/08/2016
1093.92;1044;1648.96;620158;;0;15/08/2016
1116.24;1044;1648.96;620158;;0;16/08/2016
1120.04;1044;1648.96;620158;;0;17/08/2016
1120.04;1044;1648.96;620158;;0;18/08/2016
1112.44;1044;1648.96;620158;;0;19/08/2016
1112.44;1044;1648.96;620158;;0;20/08/2016
1112.44;1044;1648.96;620158;;0;21/08/2016
1112.44;1044;1648.96;620158;;0;22/08/2016
1112.44;1044;1648.96;620158;;0;23/08/2016
