precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
3399;0;3999;603847;;0;18/02/2016
3399;0;3999;603847;;0;19/02/2016
3399;0;3899;603847;;0;20/02/2016
3399;0;3899;603847;;0;21/02/2016
3399;0;3899;603847;;0;22/02/2016
3399;0;3899;603847;;0;23/02/2016
3399;0;3899;603847;;0;24/02/2016
3399;0;3899;603847;;0;25/02/2016
3399;0;3899;603847;;0;26/02/2016
3399;0;3899;603847;;0;27/02/2016
3399;0;3899;603847;;0;28/02/2016
3399;0;3899;603847;;0;29/02/2016
3399;0;3899;603847;;0;01/03/2016
3399;0;3702.79;603847;;0;02/03/2016
3399;0;3899;603847;;0;03/03/2016
3399;0;3899;603847;;0;04/03/2016
3399;0;3899;603847;;0;05/03/2016
3399;0;3899;603847;;0;06/03/2016
3399;0;3899;603847;;0;07/03/2016
3399;0;3899;603847;;0;08/03/2016
3399;0;3899;603847;;0;09/03/2016
3399;0;3899;603847;;0;10/03/2016
3399;0;3899;603847;;0;11/03/2016
3399;0;3899;603847;;0;12/03/2016
3399;0;3899;603847;;0;13/03/2016
3399;0;3899;603847;;0;14/03/2016
3399;0;3899;603847;;0;15/03/2016
3399;0;3899;603847;;0;16/03/2016
3399;0;3899;603847;;0;17/03/2016
3399;0;3899;603847;;0;18/03/2016
3399;0;3899;603847;;0;19/03/2016
3399;0;3899;603847;;0;20/03/2016
3399;0;3655.3;603847;;0;21/03/2016
3399;0;3607.82;603847;;0;22/03/2016
3607.82;0;4698;603847;;0;23/03/2016
3399;0;3607.82;603847;;0;24/03/2016
3399;0;3607.82;603847;;0;25/03/2016
3399;0;3607.82;603847;;0;26/03/2016
3399;0;3607.82;603847;;0;27/03/2016
3399;0;3607.82;603847;;0;28/03/2016
3498.96;0;3607.82;603847;;0;29/03/2016
3399;0;3607.82;603847;;0;30/03/2016
3399;0;3607.82;603847;;0;31/03/2016
3399;0;3607.82;603847;;0;01/04/2016
3399;0;3607.82;603847;;0;02/04/2016
3399;0;3607.82;603847;;0;03/04/2016
3399;0;3607.82;603847;;0;04/04/2016
3498.96;0;3607.82;603847;;0;05/04/2016
3607.82;0;3607.82;603847;;0;06/04/2016
3399;0;4638;603847;;0;07/04/2016
3399;0;4638;603847;;0;08/04/2016
3399;0;4638;603847;;0;09/04/2016
3399;0;4638;603847;;0;10/04/2016
3607.82;0;3607.82;603847;;0;11/04/2016
3399;0;4645;603847;;0;12/04/2016
3607.82;0;4645;603847;;0;13/04/2016
3607.82;0;4638;603847;;0;14/04/2016
3607.82;0;4529;603847;;0;15/04/2016
3607.82;0;4529;603847;;0;16/04/2016
3607.82;0;4529;603847;;0;17/04/2016
3607.82;0;4529;603847;;0;18/04/2016
3607.82;0;4529;603847;;0;19/04/2016
3607.82;0;4529;603847;;0;20/04/2016
3399;0;4529;603847;;0;21/04/2016
3399;0;4529;603847;;0;22/04/2016
3399;0;4529;603847;;0;23/04/2016
3399;0;4529;603847;;0;24/04/2016
3399;0;4529;603847;;0;25/04/2016
3389.39;0;4550;603847;;0;26/04/2016
3389.39;0;4298.56;603847;;0;27/04/2016
4298.56;0;4529;603847;;0;28/04/2016
3389.39;0;3389.39;603847;;0;29/04/2016
3389.39;0;3389.39;603847;;0;30/04/2016
3389.39;0;3389.39;603847;;0;01/05/2016
3588.82;0;3588.82;603847;;0;02/05/2016
3588.82;0;3999;603847;;0;03/05/2016
3588.82;0;3999;603847;;0;04/05/2016
3588.82;0;3999;603847;;0;05/05/2016
3588.82;0;3588.82;603847;;0;06/05/2016
3588.82;0;3588.82;603847;;0;07/05/2016
3588.82;0;3588.82;603847;;0;08/05/2016
3588.82;0;3999;603847;;0;09/05/2016
3588.82;0;3999;603847;;0;10/05/2016
3059.1;0;3999;603847;;0;11/05/2016
3588.82;0;3999;603847;;0;12/05/2016
3149.01;0;3999;603847;;0;13/05/2016
3588.82;0;5002;603847;;0;14/05/2016
3588.82;0;5002;603847;;0;15/05/2016
3607.82;0;3607.82;603847;;0;16/05/2016
3607.82;0;3999;603847;;0;17/05/2016
3607.82;0;3607.82;603847;;0;18/05/2016
3607.82;0;3999;603847;;0;19/05/2016
3607.82;0;3999;603847;;0;20/05/2016
3607.82;0;3999;603847;;0;21/05/2016
3607.82;0;3999;603847;;0;22/05/2016
3797.75;0;3999;603847;;0;23/05/2016
3797.75;0;3999;603847;;0;24/05/2016
3797.75;0;3999;603847;;0;25/05/2016
3797.75;0;3999;603847;;0;26/05/2016
3797.75;0;3999;603847;;0;27/05/2016
3797.75;0;3999;603847;;0;28/05/2016
3797.75;0;3999;603847;;0;29/05/2016
3797.75;0;3999;603847;;0;30/05/2016
3797.75;0;3999;603847;;0;31/05/2016
3797.75;0;3999;603847;;0;01/06/2016
3797.75;0;3999;603847;;0;02/06/2016
3067.6;0;3999;603847;;0;03/06/2016
3797.75;0;3999;603847;;0;04/06/2016
3797.75;0;3999;603847;;0;05/06/2016
3739.92;0;3797.75;603847;;0;06/06/2016
3607.82;0;3739.92;603847;;0;07/06/2016
3607.82;0;3739.92;603847;;0;08/06/2016
3607.82;0;3999;603847;;0;09/06/2016
3739.92;0;3999;603847;;0;10/06/2016
3068.49;0;3999;603847;;0;11/06/2016
3068.49;0;3797.75;603847;;0;12/06/2016
3229.99;0;3797.75;603847;;0;13/06/2016
3229.99;0;3999;603847;;0;14/06/2016
3229.99;0;3607.82;603847;;0;15/06/2016
3229.99;0;3999;603847;;0;16/06/2016
3229.99;0;3999;603847;;0;17/06/2016
3229.99;0;3999;603847;;0;18/06/2016
3229.99;0;3512.85;603847;;0;20/06/2016
3999;0;3999;603847;;0;22/06/2016
2966.12;0;3999;603847;;0;23/06/2016
2966.12;0;3512.85;603847;;0;25/06/2016
3512.85;0;3699;603847;;0;02/07/2016
3514.05;0;3999;603847;;0;05/07/2016
3512.85;0;3699;603847;;0;06/07/2016
3512.85;0;3514.05;603847;;0;07/07/2016
3512.85;0;3699;603847;;0;08/07/2016
3512.85;0;3699;603847;;0;09/07/2016
3512.85;0;3514.05;603847;;0;10/07/2016
3512.85;0;3999;603847;;0;11/07/2016
3512.85;0;4905.28;603847;;0;12/07/2016
3512.85;0;3999;603847;;0;13/07/2016
3512.85;0;3999;603847;;0;14/07/2016
3399;0;3514.05;603847;;0;19/07/2016
3399;0;3699;603847;;0;20/07/2016
3499;0;3693.29;603847;;0;21/07/2016
3512.85;0;3999;603847;;0;22/07/2016
3512.85;0;3999;603847;;0;23/07/2016
3512.85;0;3999;603847;;0;24/07/2016
3512.85;0;3999;603847;;0;25/07/2016
3512.85;0;3999;603847;;0;26/07/2016
3512.85;0;3999;603847;;0;27/07/2016
3512.85;0;3899;603847;;0;28/07/2016
3512.85;0;3999;603847;;0;29/07/2016
3512.85;0;3999;603847;;0;30/07/2016
3512.85;0;3999;603847;;0;31/07/2016
3512.85;0;4679.21;603847;;0;01/08/2016
3512.85;0;4679.21;603847;;0;02/08/2016
3512.85;0;4679.21;603847;;0;03/08/2016
3512.85;0;4679.21;603847;;0;04/08/2016
3512.85;0;4679.21;603847;;0;05/08/2016
3512.85;0;4679.21;603847;;0;06/08/2016
3512.85;0;4679.21;603847;;0;07/08/2016
3512.85;0;4679.21;603847;;0;08/08/2016
3512.85;3399;4679.21;603847;;0;09/08/2016
3419.05;3399;4679.21;603847;;0;10/08/2016
3512.85;3399;4679.21;603847;;0;11/08/2016
3512.85;3399;4679.21;603847;;0;12/08/2016
3512.85;3399;4679.21;603847;;0;13/08/2016
3512.85;3399;4679.21;603847;;0;14/08/2016
3512.85;3399;4679.21;603847;;0;15/08/2016
3061.93;3399;4679.21;603847;;0;16/08/2016
3061.93;3399;4679.21;603847;;0;17/08/2016
3061.93;3061;4679.21;603847;;0;18/08/2016
3061.93;3061;4679.21;603847;;0;19/08/2016
3061.93;3061;4679.21;603847;;0;20/08/2016
3061.93;3061;4679.21;603847;;0;21/08/2016
2900.77;3061;4679.21;603847;;0;22/08/2016
3061.93;3061;4679.21;603847;;0;23/08/2016
3229.05;2900;4679.21;603847;;0;24/08/2016
3229.05;2900;4679.21;603847;;0;25/08/2016
3229.05;2900;4679.21;603847;;0;26/08/2016
2902.49;2900;4679.21;603847;;0;27/08/2016
3229.05;2900;4679.21;603847;;0;28/08/2016
3063.74;2900;4679.21;603847;;0;29/08/2016
3134.99;2900;4679.21;603847;;0;30/08/2016
3134.99;2900;4679.21;603847;;0;31/08/2016
3134.99;2900;4679.21;603847;;0;01/09/2016
3229.99;2900;4679.21;603847;;0;02/09/2016
3229.99;2900;4679.21;603847;;0;03/09/2016
3495.05;2900;4679.21;603847;;0;04/09/2016
3229.99;2900;4679.21;603847;;0;05/09/2016
3399;2900;4679.21;603847;;0;06/09/2016
3399.99;2900;4679.21;603847;;0;07/09/2016
3399.99;2900;4679.21;603847;;0;08/09/2016
3199;2900;3799.99;603847;;0;09/09/2016
3399.99;2900;3799.99;603847;;0;10/09/2016
3199;2900;3799.99;603847;;0;11/09/2016
3229.99;2900;3799.99;603847;;0;12/09/2016
3229.99;2900;3799.99;603847;;0;13/09/2016
3239.99;2900;4679.21;603847;;0;14/09/2016
3059.99;2900;4679.21;603847;;0;15/09/2016
3059.99;2900;4679.21;603847;;0;16/09/2016
3059.99;2900;4679.21;603847;;0;17/09/2016
3059.99;2900;4679.21;603847;;0;18/09/2016
3059.99;2900;4679.21;603847;;0;19/09/2016
3059.99;2900;4679.21;603847;;0;20/09/2016
3229.99;2902;4679.21;603847;;0;21/09/2016
3229.99;2902;4679.21;603847;;0;22/09/2016
3229.99;2902;4679.21;603847;;0;23/09/2016
3229.99;2902;3799.99;603847;;0;24/09/2016
3324.05;2902;3799.99;603847;;0;25/09/2016
3229.99;3059;4679.21;603847;;0;26/09/2016
3229.99;3059;4679.21;603847;;0;27/09/2016
3229.99;3059;4188.05;603847;;0;28/09/2016
3059.99;3059;4188.05;603847;;0;29/09/2016
3059.99;3059;4188.05;603847;;0;30/09/2016
3059.99;3059;4504.3;603847;;0;01/10/2016
3059.99;3059;4504.3;603847;;0;02/10/2016
3049.49;3059;4504.3;603847;;0;03/10/2016
3182.49;3059;4188.05;603847;;0;04/10/2016
3182.49;3049;4043.64;603847;;0;05/10/2016
3182.49;3049;4043.64;603847;;0;06/10/2016
3182.49;3049;4043.64;603847;;0;07/10/2016
3182.49;3049;4043.64;603847;;0;08/10/2016
3134.99;3049;4043.64;603847;;0;09/10/2016
3134.99;3049;4043.64;603847;;0;10/10/2016
3134.99;3049;4043.64;603847;;0;11/10/2016
3041.99;3049;3992.6;603847;;0;12/10/2016
3041.99;3049;3992.6;603847;;0;13/10/2016
3041.99;3041;3609.99;603847;;0;14/10/2016
3041.99;3041;3799.99;603847;;0;15/10/2016
3041.99;3041;3609.99;603847;;0;16/10/2016
3041.99;3041;3899.9;603847;;0;17/10/2016
3041.99;3041;3910.41;603847;;0;19/10/2016
3041.99;3041;3910.41;603847;;0;20/10/2016
3041.99;3041;3910.41;603847;;0;21/10/2016
3059.99;3041;4338.99;603847;;0;22/10/2016
3059.99;3041;4338.99;603847;;0;23/10/2016
3059.99;3041;4338.99;603847;;0;24/10/2016
3059.99;3041;4601;603847;;0;25/10/2016
3181.55;3041;4601;603847;;0;26/10/2016
3181.55;3041;3999.99;603847;;0;27/10/2016
3181.55;3041;3999.99;603847;;0;28/10/2016
3181.55;3041;3910.41;603847;;0;29/10/2016
3181.55;3041;3910.41;603847;;0;30/10/2016
3041.99;3041;3910.41;603847;;0;31/10/2016
3059.99;3041;3999.99;603847;;0;01/11/2016
3059.99;3041;3899.9;603847;;0;02/11/2016
3059.99;3041;4303.17;603847;;0;03/11/2016
3059.99;2900;4303.17;603847;;0;04/11/2016
3059.99;2900;4303.17;603847;;0;05/11/2016
3059.99;2900;4538.97;603847;;0;06/11/2016
2969.99;2900;4538.97;603847;;0;07/11/2016
3059.99;2900;4580;603847;;0;08/11/2016
3059.99;2900;4580;603847;;0;09/11/2016
3059.99;2900;4580;603847;;0;10/11/2016
3059.99;2900;3910.41;603847;;0;11/11/2016
3229.04;2900;3910.41;603847;;0;12/11/2016
3229.04;2900;3910.41;603847;;0;13/11/2016
3059.09;2900;4373;603847;;0;14/11/2016
3059.99;2900;3910.41;603847;;0;15/11/2016
3059.99;2900;3910.41;603847;;0;16/11/2016
3059.99;2900;4500;603847;;0;17/11/2016
3059.99;2900;4599;603847;;0;18/11/2016
3059.99;2900;4479;603847;;0;19/11/2016
3398.89;2900;3998.97;603847;;0;20/11/2016
3398.89;2902;3998.97;603847;;0;21/11/2016
3059.99;2902;3910.41;603847;;0;22/11/2016
3059.99;2902;3910.41;603847;;0;23/11/2016
3281.2;2902;3999;603847;;0;24/11/2016
3281.2;2902;3999;603847;;0;25/11/2016
2991.99;2969;3910.41;603847;;0;26/11/2016
3400.9;2969;3899;603847;;0;27/11/2016
3281.2;2969;3799.88;603847;;0;28/11/2016
3281.2;2969;3799.88;603847;;0;29/11/2016
3167.12;2969;3693.16;603847;;0;30/11/2016
3343.99;2969;4998.96;603847;;0;01/12/2016
3343.99;2969;4998.96;603847;;0;02/12/2016
3059.99;2969;4373;603847;;0;03/12/2016
3400.9;2969;3898.98;603847;;0;04/12/2016
3400.9;2969;3898.98;603847;;0;05/12/2016
3400.9;2969;3898.98;603847;;0;06/12/2016
3400.9;2969;3898.98;603847;;0;07/12/2016
3400.9;2969;3840.25;603847;;0;08/12/2016
3453.9;2969;3840.25;603847;;0;09/12/2016
3453.9;2969;3840.25;603847;;0;10/12/2016
3453.9;2969;3840.25;603847;;0;11/12/2016
3400.91;2969;3840.25;603847;;0;12/12/2016
3400.91;2969;3840.25;603847;;0;13/12/2016
3400.91;2969;3898.98;603847;;0;14/12/2016
3400.91;2969;3898.98;603847;;0;15/12/2016
3400.91;2969;3840.25;603847;;0;16/12/2016
3400.91;2969;3840.25;603847;;0;17/12/2016
3400.91;2969;3773.61;603847;;0;18/12/2016
3400.91;3400;3773.61;603847;;0;19/12/2016
3400.91;3400;3840.25;603847;;0;20/12/2016
3400.91;3400;3840.25;603847;;0;21/12/2016
3400.91;3400;3840.25;603847;;0;22/12/2016
3400.91;3400;3840.25;603847;;0;23/12/2016
3400.91;3400;3773.61;603847;;0;24/12/2016
3400.91;3400;3773.61;603847;;0;25/12/2016
3099.9;3400;3773.61;603847;;0;26/12/2016
3099.9;3400;3773.61;603847;;0;27/12/2016
3099.9;3099;3773.61;603847;;0;28/12/2016
3400.91;3099;4808.88;603847;;0;29/12/2016
3400.91;3099;4808.88;603847;;0;30/12/2016
3400.91;3099;4808.88;603847;;0;31/12/2016
3400.91;3099;4808.88;603847;;0;01/01/2017
3453.9;3099;4808.88;603847;;0;02/01/2017
3453.9;3099;4808.88;603847;;0;03/01/2017
3453.9;3099;4808.88;603847;;0;04/01/2017
3322.14;3400;4808.88;603847;;0;05/01/2017
3453.9;3400;3844.99;603847;;0;06/01/2017
3453.9;3322;3844.99;603847;;0;07/01/2017
3453.9;3322;3844.99;603847;;0;08/01/2017
3273.69;3322;4733.9;603847;;0;09/01/2017
3247.09;3322;4733.9;603847;;0;10/01/2017
3039.99;3273;4733.9;603847;;0;11/01/2017
3039.99;3247;4733.88;603847;;0;12/01/2017
3039.99;3039;4733.88;603847;;0;13/01/2017
3134.99;3039;4648;603847;;0;14/01/2017
3134.99;3039;4648;603847;;0;15/01/2017
3087.49;3039;4733.88;603847;;0;16/01/2017
3087.49;3039;4733.88;603847;;0;17/01/2017
3087.49;3039;4733.88;603847;;0;18/01/2017
3087.49;3039;4733.88;603847;;0;19/01/2017
3087.49;3039;4733.88;603847;;0;20/01/2017
3087.49;3039;4647.96;603847;;0;21/01/2017
3087.49;3039;4647.96;603847;;0;22/01/2017
3087.49;3039;4647.96;603847;;0;23/01/2017
3134.99;3039;4648;603847;;0;24/01/2017
3134.99;3039;4648;603847;;0;25/01/2017
3134.99;3039;4648;603847;;0;26/01/2017
3134.99;3039;4648;603847;;0;27/01/2017
3134.99;3039;4648;603847;;0;28/01/2017
3134.99;3039;4590;603847;;0;29/01/2017
3134.99;3039;4590;603847;;0;30/01/2017
3134.05;3039;4590;603847;;0;31/01/2017
