precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
1169.1;0;1429.9;611655;;0;18/02/2016
1169.1;0;1599;611655;;0;19/02/2016
1169.1;0;1599;611655;;0;20/02/2016
1169.1;0;1599;611655;;0;21/02/2016
1169.1;0;1429.9;611655;;0;22/02/2016
1169.1;0;1495.12;611655;;0;23/02/2016
1169.1;0;1495.12;611655;;0;24/02/2016
1169.1;0;1529.1;611655;;0;25/02/2016
1169.1;0;1529.1;611655;;0;26/02/2016
1169.1;0;1529.1;611655;;0;27/02/2016
1169.1;0;1529.1;611655;;0;28/02/2016
1169.1;0;1529.1;611655;;0;29/02/2016
1169.1;0;1649.9;611655;;0;01/03/2016
1259.1;0;1529.1;611655;;0;02/03/2016
1169.1;0;1569.9;611655;;0;03/03/2016
1289;0;1569.9;611655;;0;04/03/2016
1160.1;0;1569.9;611655;;0;05/03/2016
1299;0;1569.9;611655;;0;06/03/2016
1160.1;0;1529.1;611655;;0;07/03/2016
1231.91;0;1503.42;611655;;0;08/03/2016
1231.91;0;1503.42;611655;;0;09/03/2016
1231.91;0;1499;611655;;0;10/03/2016
899;0;1503.42;611655;;0;11/03/2016
1231.91;0;1399;611655;;0;12/03/2016
1231.91;0;1399;611655;;0;13/03/2016
1231.91;0;1569.9;611655;;0;14/03/2016
1233.63;0;1569.9;611655;;0;15/03/2016
1233.63;0;1569.9;611655;;0;16/03/2016
1279;0;1569.9;611655;;0;17/03/2016
1279;0;1569.9;611655;;0;18/03/2016
1273.9;0;1569.9;611655;;0;19/03/2016
1273.9;0;1569.9;611655;;0;20/03/2016
1279;0;1569.9;611655;;0;21/03/2016
1234.05;0;1599.9;611655;;0;22/03/2016
1253.16;0;1599.9;611655;;0;23/03/2016
1234.05;0;1599.9;611655;;0;24/03/2016
1234.05;0;1599.9;611655;;0;25/03/2016
1234.05;0;1599.9;611655;;0;26/03/2016
1261.32;0;1599.9;611655;;0;27/03/2016
1295.91;0;1599.9;611655;;0;28/03/2016
1279;0;1599.9;611655;;0;29/03/2016
1166.33;0;1599.9;611655;;0;30/03/2016
1279;0;1599.9;611655;;0;31/03/2016
1187.21;0;1599.9;611655;;0;01/04/2016
1259.1;0;1599.9;611655;;0;02/04/2016
1329.9;0;1599.9;611655;;0;03/04/2016
1349;0;1599.9;611655;;0;04/04/2016
1163.56;0;1599.9;611655;;0;05/04/2016
1163.48;0;1599.9;611655;;0;06/04/2016
1180.9;0;1599.9;611655;;0;07/04/2016
