precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
3469.6;0;4299;616841;;0;18/02/2016
3549.9;0;4299;616841;;0;19/02/2016
3652.21;0;4299;616841;;0;20/02/2016
3549.9;0;4299;616841;;0;21/02/2016
3549.9;0;4299;616841;;0;22/02/2016
3549.9;0;4299;616841;;0;23/02/2016
3434.72;0;4299;616841;;0;24/02/2016
3434.58;0;4299;616841;;0;25/02/2016
3479;0;4299;616841;;0;26/02/2016
3469.5;0;4299;616841;;0;27/02/2016
3469.5;0;4299;616841;;0;28/02/2016
3469.5;0;4299;616841;;0;29/02/2016
3329.01;0;4299;616841;;0;01/03/2016
3479;0;4299;616841;;0;02/03/2016
3479;0;3999;616841;;0;03/03/2016
3035;0;3999;616841;;0;04/03/2016
3479;0;3779.1;616841;;0;05/03/2016
3479;0;4055;616841;;0;06/03/2016
3479;0;3779.1;616841;;0;07/03/2016
3479;0;3999;616841;;0;08/03/2016
3479;0;3999;616841;;0;09/03/2016
3479;0;3999;616841;;0;10/03/2016
3479;0;3999;616841;;0;11/03/2016
3479;0;3999;616841;;0;12/03/2016
3479;0;3999;616841;;0;13/03/2016
3479;0;3999;616841;;0;14/03/2016
3238.29;0;3999;616841;;0;15/03/2016
2915.91;0;3999;616841;;0;16/03/2016
3031.55;0;3999;616841;;0;17/03/2016
3328.2;0;3999;616841;;0;18/03/2016
3549.9;0;3999;616841;;0;19/03/2016
3598.16;0;3999;616841;;0;20/03/2016
3518.2;0;3999;616841;;0;21/03/2016
3518.2;0;3999;616841;;0;22/03/2016
3518.2;0;3999;616841;;0;23/03/2016
3518.2;0;3607.12;616841;;0;24/03/2016
3342.24;0;3798.96;616841;;0;25/03/2016
3342.24;0;3798.96;616841;;0;26/03/2016
3342.24;0;3798.96;616841;;0;27/03/2016
3245.53;0;3798.96;616841;;0;28/03/2016
3245.53;0;3798.96;616841;;0;29/03/2016
3210.24;0;3798.96;616841;;0;30/03/2016
3210.24;0;3798.96;616841;;0;31/03/2016
3210.24;0;4099;616841;;0;01/04/2016
3210.24;0;3999;616841;;0;02/04/2016
3210.24;0;3999;616841;;0;03/04/2016
3210.24;0;3798.96;616841;;0;04/04/2016
2999;0;3549.9;616841;;0;05/04/2016
2847.06;0;3549.9;616841;;0;06/04/2016
2994.9;0;3959;616841;;0;07/04/2016
2992.9;0;3959;616841;;0;08/04/2016
2947.9;0;3959;616841;;0;09/04/2016
2946.9;0;3959;616841;;0;10/04/2016
2948.9;0;3689.1;616841;;0;11/04/2016
2949;0;3959;616841;;0;12/04/2016
2948.9;0;3959;616841;;0;13/04/2016
2654.1;0;3959;616841;;0;14/04/2016
2948.9;0;3959;616841;;0;15/04/2016
2948.9;0;3959;616841;;0;16/04/2016
2948.9;0;3959;616841;;0;17/04/2016
2948.9;0;3549.9;616841;;0;18/04/2016
3038.29;0;3799;616841;;0;19/04/2016
3038.29;0;3799;616841;;0;20/04/2016
3452.9;0;3799;616841;;0;21/04/2016
3419.1;0;3849.9;616841;;0;22/04/2016
2999;0;2999;616841;;0;23/04/2016
2999;0;3549.9;616841;;0;24/04/2016
2999;0;3549.9;616841;;0;25/04/2016
3320.19;0;3608.96;616841;;0;26/04/2016
3249.99;0;3608.96;616841;;0;27/04/2016
2699;0;3998;616841;;0;28/04/2016
2699;0;3998;616841;;0;29/04/2016
2699;0;3998;616841;;0;30/04/2016
2699;0;3998;616841;;0;01/05/2016
2699;0;3998;616841;;0;02/05/2016
3329.01;0;3998;616841;;0;03/05/2016
3329.01;0;3998;616841;;0;04/05/2016
3311.1;0;3998;616841;;0;05/05/2016
3311.01;0;3998;616841;;0;06/05/2016
3329.01;0;3998;616841;;0;07/05/2016
3329.01;0;3998;616841;;0;08/05/2016
3329.01;0;3998;616841;;0;09/05/2016
3329.01;0;3998;616841;;0;10/05/2016
3299;0;3899;616841;;0;11/05/2016
2996.01;0;4557.9;616841;;0;12/05/2016
3138;0;4557.9;616841;;0;13/05/2016
3069.9;0;4557.9;616841;;0;14/05/2016
3069.9;0;4557.9;616841;;0;15/05/2016
3069.9;0;4557.9;616841;;0;16/05/2016
3069.9;0;4557.9;616841;;0;17/05/2016
3069.9;0;4557.9;616841;;0;18/05/2016
3069.9;0;4557.9;616841;;0;19/05/2016
3038.29;0;4372.63;616841;;0;20/05/2016
3038.29;0;4372.63;616841;;0;21/05/2016
3038.29;0;4372.63;616841;;0;22/05/2016
2699;0;4372.63;616841;;0;23/05/2016
