precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
2375.12;0;2564.05;619751;;0;19/05/2016
2375.12;0;2564.05;619751;;0;20/05/2016
2375.12;0;2564.05;619751;;0;21/05/2016
2375.12;0;2564.05;619751;;0;22/05/2016
2348.91;0;2564.05;619751;;0;23/05/2016
2348.91;0;2564.05;619751;;0;24/05/2016
2375.12;0;2425.67;619751;;0;25/05/2016
2375.12;0;2425.67;619751;;0;26/05/2016
2375.12;0;2564.91;619751;;0;27/05/2016
2375.12;0;2564.91;619751;;0;28/05/2016
2375.12;0;2564.91;619751;;0;29/05/2016
2375.12;0;2564.91;619751;;0;30/05/2016
2375.12;0;2564.05;619751;;0;31/05/2016
2375.12;0;2564.91;619751;;0;01/06/2016
2375.12;0;2564.05;619751;;0;02/06/2016
2375.12;0;2564.05;619751;;0;03/06/2016
2375.12;0;2564.05;619751;;0;04/06/2016
2375.12;0;2429.1;619751;;0;05/06/2016
2375.12;0;2429.1;619751;;0;06/06/2016
2375.12;0;2564.05;619751;;0;07/06/2016
2352.46;0;2564.05;619751;;0;08/06/2016
2375.12;0;2429.1;619751;;0;09/06/2016
2375.12;0;2564.05;619751;;0;10/06/2016
2375.12;0;2429.91;619751;;0;11/06/2016
2375.12;0;2564.05;619751;;0;12/06/2016
2375.12;0;2400.47;619751;;0;13/06/2016
2400.47;0;2564.05;619751;;0;14/06/2016
2352.46;0;2564.05;619751;;0;15/06/2016
2375.12;0;2564.05;619751;;0;16/06/2016
2375.12;0;2564.05;619751;;0;17/06/2016
2305.41;0;2564.05;619751;;0;18/06/2016
2305.41;0;2968.9;619751;;0;20/06/2016
2375.03;0;2564.05;619751;;0;22/06/2016
2287.12;0;2429.1;619751;;0;23/06/2016
2249.99;0;2699;619751;;0;25/06/2016
2249.99;0;2564.05;619751;;0;27/06/2016
2199.8;0;2699;619751;;0;02/07/2016
2199.8;0;2699;619751;;0;04/07/2016
2375.12;0;2699;619751;;0;05/07/2016
2249.99;0;2699;619751;;0;06/07/2016
2199.8;0;2699;619751;;0;07/07/2016
2199.8;0;2564.05;619751;;0;08/07/2016
2375.12;0;2564.05;619751;;0;09/07/2016
2249.99;0;2564.05;619751;;0;10/07/2016
2249.99;0;2699;619751;;0;11/07/2016
2249.99;0;2564.05;619751;;0;12/07/2016
2375.12;0;2564.05;619751;;0;13/07/2016
2375.12;0;2564.05;619751;;0;14/07/2016
2287.91;0;2599;619751;;0;19/07/2016
2287.91;0;2599;619751;;0;20/07/2016
2197.25;0;2699;619751;;0;21/07/2016
2287.91;0;2699;619751;;0;22/07/2016
2287.91;0;2699;619751;;0;23/07/2016
2287.91;0;2699;619751;;0;24/07/2016
2287.91;0;2564.05;619751;;0;25/07/2016
2287.91;0;2699.99;619751;;0;26/07/2016
2287.91;0;2699.99;619751;;0;27/07/2016
2287.91;0;2699.99;619751;;0;28/07/2016
2287.91;0;2699.99;619751;;0;29/07/2016
2270.31;0;2699.99;619751;;0;30/07/2016
2270.31;0;2699.99;619751;;0;31/07/2016
2287.91;0;2739.9;619751;;0;01/08/2016
2249.1;0;2939;619751;;0;02/08/2016
2249.1;0;2739.9;619751;;0;03/08/2016
2287.91;0;2739.9;619751;;0;04/08/2016
2249.1;0;2789.9;619751;;0;05/08/2016
2249.1;0;2739.9;619751;;0;06/08/2016
2249.1;0;2739.9;619751;;0;07/08/2016
2249.1;0;2739.9;619751;;0;08/08/2016
2349.51;2197;2739.9;619751;;0;09/08/2016
2249.1;2197;2739.9;619751;;0;10/08/2016
2249.1;2197;2829.9;619751;;0;11/08/2016
2249.1;2197;2829.9;619751;;0;12/08/2016
2294.15;2197;2829.9;619751;;0;13/08/2016
2178.39;2197;2829.9;619751;;0;14/08/2016
2294.15;2197;2939;619751;;0;15/08/2016
2294.15;2178;2939;619751;;0;16/08/2016
2178.39;2178;2999;619751;;0;17/08/2016
2178.39;2178;2999;619751;;0;18/08/2016
2294.15;2178;2999;619751;;0;19/08/2016
2294.15;2178;2999;619751;;0;20/08/2016
2294.15;2178;2999;619751;;0;21/08/2016
2178.39;2178;2999;619751;;0;22/08/2016
2178.39;2178;2999;619751;;0;23/08/2016
2178.39;2178;2999;619751;;0;24/08/2016
2199;2178;2999;619751;;0;25/08/2016
2199;2178;2998.98;619751;;0;26/08/2016
2169.99;2178;2998.98;619751;;0;27/08/2016
2169.99;2178;2998.98;619751;;0;28/08/2016
2169.99;2169;3737.3;619751;;0;29/08/2016
2169.99;2169;3737.3;619751;;0;30/08/2016
2169.99;2169;3737.3;619751;;0;31/08/2016
2169.99;2169;3737.3;619751;;0;01/09/2016
2099.9;2169;3737.3;619751;;0;02/09/2016
2099.9;2169;3737.3;619751;;0;03/09/2016
2099.9;2099;3737.3;619751;;0;04/09/2016
2099.9;2099;3737.3;619751;;0;05/09/2016
2099.9;2099;3737.3;619751;;0;06/09/2016
2099.9;2099;3737.3;619751;;0;07/09/2016
2099.9;2099;3737.3;619751;;0;08/09/2016
2099.9;2099;3737.3;619751;;0;09/09/2016
2178.39;2099;3737.3;619751;;0;10/09/2016
2199.55;2099;3737.3;619751;;0;11/09/2016
2199.55;2099;2999;619751;;0;12/09/2016
2099.9;2099;2999;619751;;0;13/09/2016
2099.9;2099;2999;619751;;0;14/09/2016
2099.9;2099;2999;619751;;0;15/09/2016
2099.9;2099;2999;619751;;0;16/09/2016
2099.9;2099;2699;619751;;0;17/09/2016
2099.9;2099;2699;619751;;0;18/09/2016
1996.65;2099;2789.9;619751;;0;19/09/2016
1996.65;2099;2789.9;619751;;0;20/09/2016
1996.65;1996;2789.9;619751;;0;21/09/2016
1996.65;1996;2789.9;619751;;0;22/09/2016
1996.65;1996;3721.2;619751;;0;23/09/2016
1996.65;1996;3721.2;619751;;0;24/09/2016
1996.65;1996;3721.2;619751;;0;25/09/2016
1996.65;1996;3721.2;619751;;0;26/09/2016
1996.65;1996;3721.2;619751;;0;27/09/2016
1996.65;1996;3721.2;619751;;0;28/09/2016
1996.65;1996;3721.2;619751;;0;29/09/2016
1996.65;1996;3721.2;619751;;0;30/09/2016
1996.65;1996;3721.2;619751;;0;01/10/2016
1996.65;1996;3721.2;619751;;0;02/10/2016
2099.9;1996;3721.2;619751;;0;03/10/2016
1996.65;1996;3721.2;619751;;0;04/10/2016
1996.65;1996;3737.3;619751;;0;05/10/2016
1996.65;1996;3737.3;619751;;0;06/10/2016
1996.65;1996;3737.3;619751;;0;07/10/2016
1996.65;1996;3737.3;619751;;0;08/10/2016
2099.9;1996;3737.3;619751;;0;09/10/2016
1996.65;1996;3737.3;619751;;0;10/10/2016
2099.9;1996;3737.3;619751;;0;11/10/2016
2099.9;1996;3737.3;619751;;0;12/10/2016
2099.9;1996;3737.3;619751;;0;13/10/2016
2099.9;1996;3737.3;619751;;0;14/10/2016
2059.85;1996;3737.3;619751;;0;15/10/2016
2059.85;1996;3737.3;619751;;0;16/10/2016
2198.24;1996;3737.3;619751;;0;17/10/2016
1996.65;1996;3737.3;619751;;0;19/10/2016
1996.65;1996;3737.3;619751;;0;20/10/2016
1996.65;1996;3737.3;619751;;0;21/10/2016
2111.91;1996;3737.3;619751;;0;22/10/2016
2111.91;1996;3737.3;619751;;0;23/10/2016
1996.65;1996;3737.3;619751;;0;24/10/2016
1996.65;1996;3737.3;619751;;0;25/10/2016
1996.65;1996;3295.5;619751;;0;26/10/2016
1996.65;1996;3295.5;619751;;0;27/10/2016
2059.85;1996;3295.5;619751;;0;28/10/2016
2059.85;1996;3295.5;619751;;0;29/10/2016
2059.85;1996;3295.5;619751;;0;30/10/2016
1996.65;1996;3295.5;619751;;0;31/10/2016
1996.65;1996;3295.5;619751;;0;01/11/2016
1996.65;1996;3295.5;619751;;0;02/11/2016
1999.9;1996;3295.5;619751;;0;03/11/2016
1996.65;1996;3295.5;619751;;0;04/11/2016
1996.65;1996;3295.5;619751;;0;05/11/2016
1996.65;1996;3295.5;619751;;0;06/11/2016
1996.65;1996;3295.5;619751;;0;07/11/2016
1996.65;1996;3295.5;619751;;0;08/11/2016
1996.65;1996;3295.5;619751;;0;09/11/2016
1996.65;1996;3295.5;619751;;0;10/11/2016
1996.65;1996;3295.5;619751;;0;11/11/2016
1996.65;1996;3295.5;619751;;0;12/11/2016
1996.65;1996;3295.5;619751;;0;13/11/2016
1996.65;1996;3295.5;619751;;0;14/11/2016
1996.65;1996;3295.5;619751;;0;15/11/2016
1996.65;1996;3295.5;619751;;0;16/11/2016
2023.12;1996;3295.5;619751;;0;17/11/2016
1969.9;1996;3295.5;619751;;0;18/11/2016
1969.9;1996;3295.5;619751;;0;19/11/2016
1996.65;1996;3295.5;619751;;0;20/11/2016
1996.65;1996;3295.5;619751;;0;21/11/2016
1996.65;1996;3295.5;619751;;0;22/11/2016
1996.65;1996;3295.5;619751;;0;23/11/2016
1799.1;1996;3295.5;619751;;0;24/11/2016
1799.1;1969;3295.5;619751;;0;25/11/2016
1799.1;1969;3295.5;619751;;0;26/11/2016
1799.1;1969;2996.9;619751;;0;27/11/2016
1999;1969;2996.9;619751;;0;28/11/2016
2023.12;1969;2996.9;619751;;0;29/11/2016
1999;1969;2996.9;619751;;0;30/11/2016
